name,city,url
"Apartments in Richardson, TX | Falls on Clearwood | Home",Richardson,https://www.fallsonclearwoodapts.com/
"Marquis at Waterview: Apartments In Richardson, TX",Richardson,https://www.marquiswaterview.com/
"Luxury Apartments in Richardson, TX | Belt & Main",Richardson,https://beltandmain.com/
Welcome Home to Estates of Richardson,Richardson,https://www.rentanapt.com/apartments/tx/richardson/estates-of-richardson/
"GreenVue | Apartments in Richardson, TX",Richardson,https://www.liveatgreenvue.com/
The James at Canyon Creek: Luxury Apartments in Richardson,Richardson,https://www.thejamesatcanyoncreek.com/
"MAA Eastside Luxury Apartments in Richardson, TX",Richardson,https://www.maac.com/texas/dallas/maa-eastside/
"Anthem Cityline: Richardson, TX Luxury Apartments in ...",Richardson,https://www.anthemcityline.com/
"Axis 110 Modern Luxury Apartments in Richardson, TX",Richardson,https://axis110.com/
"Modern Luxury Apartments in Richardson, TX | The Register",Richardson,https://www.theregisterapts.com/
The Pradera: Apartments in Richardson TX,Richardson,https://thepradera.com/
"furnished apartments in Richardson, TX",Richardson,https://www.parksrichardson.com/
Reserve at Spring Creek Apartments | Apartments in ...,Richardson,https://www.liveatreserve.com/
The Bodie | New Luxury Apartments in Richardson TX,Richardson,https://www.livebodie.com/
"Hunters Glen: Explore Apartments in Plano, TX",Plano,https://thehuntersglen.com/
"Apartments and Townhomes in Plano, TX | Windsor West ...",Plano,https://www.windsorcommunities.com/properties/windsor-west-plano/
"Legends at Chase Oaks | Apartments in Plano, TX",Plano,https://www.legendsatchaseoaks.com/
"Horizon at Premier | Apartments in Plano, TX",Plano,https://www.horizonatpremier.com/
"Apartments for Rent Plano, TX",Plano,https://www.willowbridgepc.com/texas/dallas-fort-worth/plano
Legacy North: Stunning Plano Apartments for Rent,Plano,https://www.legacynorthapts.com/
Legacy Village Apartment Homes Apartments in Plano ...,Plano,https://www.udr.com/dallas-apartments/plano/legacy-village-apartment-homes/
"The Residences at Promontory: Plano, TX Apartments",Plano,https://www.theresidencesatpromontory.com/
"Villas at Legacy: Plano, TX Apartments",Plano,https://villasatlegacy-plano.com/
LVL29 at Legacy West Apartments: Luxury Apartments in Plano,Plano,https://www.lvl29life.com/
Ferro | New Luxury Apartments In Downtown Plano TX,Plano,https://www.liveferro.com/
Dorian and Encore Apartments: West Plano Luxury Apartments,Plano,https://www.dorianandencoreluxuryliving.com/
The Emory: New Apartments in Plano,Plano,https://www.theemoryplano.com/
"Park on 14th | Apartments in Plano, TX",Plano,https://www.park14plano.com/
"The Annabel at Assembly Park Apartments in Plano, TX",Plano,https://theannabelatassemblypark.com/
"The Bridge at Heritage Creekside – Upscale Living | Plano, TX",Plano,https://www.thebridgeplano.com/
Plano apartments for rent | The Westside,Plano,https://liveatthewestside.com/
"Apartments in Plano, TX | Cortland North Plano",Plano,https://cortland.com/apartments/cortland-north-plano/
Richardson Neighborhood - MAA,Mixed,https://www.maac.com/texas/dallas/richardson/
"The Buckley: Discover Apartments in Plano, TX",Mixed,https://thebuckleyplano.com/
Cross Creek Apartments,Mixed,https://thecrosscreek.com/
Camden Buckingham - Richardson,Mixed,https://www.camdenliving.com/apartments/richardson-tx/camden-buckingham
"Richardson, TX Apartments for Rent",Mixed,https://www.camdenliving.com/apartments/richardson-tx
"1 & 2 Bedroom Apartments in Richardson, TX - Camden ...",Mixed,https://www.camdenliving.com/apartments/richardson-tx/camden-buckingham/available-apartments
Contact Us - Bluerock Real Estate,Mixed,https://bluerock.com/contact-us/
Morada Plano Apartments,New,https://www.moradaplano.com/
"Bel Air Downtown | Apartments in Plano, TX",New,https://www.belairdowntown.com/
"Apartments for Rent in Plano, TX | @15TH – Home",New,https://www.at15th.com/
West Plano Apartments,New,https://cortland.com/apartments/cortland-west-plano/
West Plano Apartments | Cortland Arbor Hills,New,https://cortland.com/apartments/cortland-arbor-hills/
Cortland North Plano | Plano TX,New,https://www.facebook.com/cortlandnorthplano/
"1, 2, 3, & 4 Bedroom Apartments | Cortland North Plano",New,https://cortland.com/apartments/cortland-north-plano/floorplans/
Plano Apartments for Rent,New,https://www.udr.com/dallas-apartments/plano/
Dallas Apartments for Rent,New,https://www.udr.com/dallas-apartments/
Legacy Village Apartment Homes | Plano TX,New,https://www.udr.com/dallas- apar
"The Flats at Palisades Apartments in Richardson, Texas",New,https://www.udr.com/dallas-apartments/richardson/the-flats-at-palisades/
